RES,ORD,P,SP,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,PN,avLI,RE24,WPA,PLAYER,TEAM,YEAR,B,GPA,BB/K,ISOP,XBH
4.0,3,CF,9.0,32.0,6.0,10.0,3.0,1.0,0.0,15.0,5.0,0.0,0.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,0.358,0.449,0.514,0.963,15.111,0.719,0.143,0.01,이정후,키움,2021.0,6.0,0.331,3.0,0.156,4.0
3.0,3,CF,8.0,31.0,7.0,11.0,4.0,1.0,0.0,17.0,2.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.35,0.445,0.507,0.952,18.333,0.789,0.261,0.038,이정후,키움,2021.0,6.0,0.327,3.5,0.157,5.0
3.0,3,CF,9.0,34.0,7.0,14.0,5.0,0.0,1.0,22.0,4.0,1.0,1.0,5.0,0.0,1.0,3.0,0.0,0.0,1.0,0.354,0.45,0.512,0.962,15.889,0.983,0.487,0.058,이정후,키움,2021.0,8.0,0.33,1.667,0.159,6.0
7.0,3,CF,9.0,37.0,3.0,9.0,3.0,0.0,1.0,15.0,9.0,1.0,0.0,5.0,0.0,0.0,2.0,1.0,0.0,2.0,0.345,0.438,0.513,0.951,17.889,0.899,0.103,0.029,이정후,키움,2021.0,5.0,0.325,2.5,0.168,4.0
5.0,3,CF,9.0,32.0,3.0,10.0,1.0,0.0,1.0,14.0,6.0,2.0,1.0,5.0,0.0,1.0,6.0,0.0,0.0,1.0,0.411,0.449,0.508,0.957,18.778,1.016,0.163,0.015,박해민,삼성,2021.0,8.0,0.329,0.833,0.097,2.0
5.0,3,CF,9.0,33.0,6.0,6.0,1.0,0.0,0.0,7.0,6.0,3.0,1.0,5.0,0.0,0.0,3.0,0.0,1.0,2.0,0.28,0.366,0.381,0.748,18.778,0.84,-0.113,-0.004,박해민,삼성,2021.0,5.0,0.26,1.667,0.101,1.0
6.0,5,CF,8.0,30.0,3.0,6.0,0.0,0.0,0.0,6.0,1.0,1.0,2.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,0.261,0.339,0.328,0.667,14.444,0.772,-0.398,-0.004,박해민,삼성,2021.0,6.0,0.234,0.6,0.067,0.0
6.0,5,CF,9.0,34.0,7.0,12.0,2.0,0.0,0.0,14.0,4.0,5.0,2.0,5.0,0.0,1.0,7.0,0.0,0.0,1.0,0.26,0.341,0.317,0.658,19.111,1.181,0.423,0.05,박해민,삼성,2021.0,10.0,0.233,0.714,0.057,2.0
4.0,1,CF,8.0,30.0,6.0,14.0,4.0,0.0,0.0,18.0,3.0,5.0,1.0,4.0,0.0,0.0,2.0,0.0,2.0,0.0,0.303,0.378,0.373,0.751,17.222,0.966,0.317,0.019,박해민,삼성,2021.0,10.0,0.263,2.0,0.07,4.0
5.0,1,CF,9.0,32.0,7.0,9.0,1.0,0.0,2.0,16.0,8.0,6.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,0.0,0.305,0.386,0.396,0.782,21.444,0.763,0.371,0.072,박해민,삼성,2021.0,6.0,0.273,0.857,0.091,3.0
7.0,1,CF,9.0,36.0,8.0,9.0,2.0,1.0,0.0,13.0,0.0,2.0,0.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,0.295,0.383,0.392,0.775,18.444,0.814,0.019,0.032,박해민,삼성,2021.0,6.0,0.27,0.625,0.098,3.0
5.0,1,CF,9.0,34.0,8.0,12.0,3.0,0.0,0.0,15.0,4.0,5.0,0.0,4.0,0.0,0.0,6.0,0.0,1.0,0.0,0.301,0.385,0.407,0.791,20.778,0.813,0.393,0.009,박해민,삼성,2021.0,9.0,0.275,0.667,0.105,3.0
3.0,1,CF,7.0,29.0,3.0,9.0,1.0,0.0,0.0,10.0,3.0,4.0,0.0,3.0,2.0,0.0,4.0,0.0,2.0,0.0,0.304,0.387,0.405,0.793,15.556,1.077,0.061,0.006,박해민,삼성,2021.0,8.0,0.276,0.75,0.101,1.0
3.0,4,1B,9.0,35.0,1.0,13.0,0.0,1.0,0.0,15.0,5.0,2.0,0.0,4.0,0.0,0.0,5.0,3.0,0.0,0.0,0.453,0.519,0.495,1.014,18.222,1.276,0.114,-0.002,강백호,KT,2021.0,12.0,0.357,0.8,0.043,1.0
6.0,3,1B,9.0,35.0,7.0,14.0,2.0,0.0,1.0,19.0,8.0,0.0,0.0,6.0,0.0,2.0,2.0,0.0,0.0,2.0,0.394,0.471,0.485,0.955,17.556,0.971,0.541,0.06,강백호,KT,2021.0,11.0,0.333,3.0,0.091,3.0
4.0,3,1B,9.0,36.0,3.0,17.0,3.0,0.0,1.0,23.0,14.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.405,0.459,0.54,0.999,19.0,0.922,0.856,0.055,강백호,KT,2021.0,13.0,0.341,1.0,0.135,4.0
3.0,3,1B,9.0,33.0,6.0,11.0,3.0,0.0,2.0,20.0,10.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.404,0.467,0.553,1.019,18.0,1.061,0.553,0.013,강백호,KT,2021.0,6.0,0.348,1.25,0.149,5.0
5.0,3,1B,8.0,34.0,2.0,12.0,2.0,0.0,1.0,17.0,9.0,0.0,2.0,6.0,0.0,1.0,10.0,0.0,0.0,0.0,0.403,0.469,0.573,1.042,21.444,1.072,0.346,0.078,강백호,KT,2021.0,9.0,0.354,0.6,0.17,3.0
5.0,3,1B,8.0,31.0,8.0,17.0,3.0,0.0,2.0,26.0,5.0,2.0,0.0,9.0,0.0,1.0,3.0,1.0,0.0,0.0,0.411,0.487,0.591,1.079,18.556,1.129,0.888,0.106,강백호,KT,2021.0,12.0,0.367,3.0,0.18,5.0
5.0,3,1B,9.0,37.0,6.0,13.0,3.0,0.0,0.0,16.0,1.0,1.0,0.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,0.407,0.486,0.581,1.067,20.556,0.794,0.34,0.027,강백호,KT,2021.0,10.0,0.364,0.833,0.174,3.0
5.0,3,1B,9.0,25.0,5.0,7.0,0.0,0.0,0.0,7.0,2.0,2.0,0.0,9.0,0.0,2.0,5.0,0.0,0.0,0.0,0.399,0.481,0.56,1.04,17.222,1.074,0.102,0.032,강백호,KT,2021.0,7.0,0.356,1.8,0.161,0.0
8.0,3,1B,9.0,25.0,8.0,10.0,3.0,0.0,2.0,19.0,9.0,0.0,0.0,11.0,0.0,1.0,8.0,0.0,0.0,0.0,0.398,0.494,0.572,1.066,19.556,0.771,1.14,0.069,강백호,KT,2021.0,5.0,0.365,1.375,0.174,5.0
3.0,2,3B,9.0,34.0,4.0,7.0,0.0,0.0,1.0,10.0,4.0,0.0,0.0,7.0,0.0,0.0,9.0,0.0,0.0,0.0,0.25,0.334,0.336,0.67,21.222,1.172,-0.048,-0.033,황재균,KT,2021.0,6.0,0.234,0.778,0.086,1.0
