RES,ORD,P,SP,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,PN,avLI,RE24,WPA,PLAYER,TEAM,YEAR,B,GPA,BB/K,ISOP,XBH
5.0,5,1B,8.0,28.0,3.0,5.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,6.0,0.0,1.0,11.0,1.0,0.0,0.0,0.288,0.372,0.531,0.903,16.222,0.758,-0.416,-0.038,오재일,삼성,2021.0,4.0,0.3,0.545,0.244,1.0
2.0,5,1B,9.0,34.0,5.0,7.0,1.0,0.0,2.0,14.0,10.0,0.0,0.0,2.0,0.0,1.0,12.0,0.0,0.0,1.0,0.275,0.355,0.509,0.864,14.667,1.316,0.092,-0.011,오재일,삼성,2021.0,4.0,0.287,0.167,0.234,3.0
4.0,1,2B,9.0,35.0,5.0,8.0,0.0,0.0,0.0,8.0,1.0,0.0,1.0,5.0,2.0,0.0,3.0,2.0,1.0,0.0,0.258,0.413,0.258,0.67,18.0,0.971,-0.46,-0.049,박민우,NC,2021.0,8.0,0.25,1.667,0.0,0.0
4.0,1,2B,8.0,29.0,6.0,10.0,0.0,1.0,1.0,15.0,4.0,1.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.292,0.394,0.344,0.738,14.0,1.012,0.467,0.026,박민우,NC,2021.0,8.0,0.263,1.5,0.052,2.0
6.0,1,2B,8.0,27.0,4.0,8.0,1.0,0.0,0.0,9.0,2.0,4.0,1.0,4.0,2.0,0.0,4.0,0.0,2.0,0.0,0.309,0.415,0.388,0.802,14.333,1.29,0.092,-0.003,박민우,NC,2021.0,7.0,0.284,1.0,0.078,1.0
3.0,1,2B,8.0,32.0,6.0,8.0,3.0,0.0,0.0,11.0,2.0,2.0,1.0,5.0,0.0,0.0,6.0,1.0,0.0,0.0,0.296,0.409,0.371,0.78,16.889,0.632,-0.061,-0.011,박민우,NC,2021.0,5.0,0.277,0.833,0.075,3.0
6.0,1,2B,9.0,37.0,5.0,9.0,1.0,0.0,0.0,10.0,6.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,2.0,0.286,0.387,0.36,0.747,18.111,0.934,-0.089,-0.023,박민우,NC,2021.0,8.0,0.264,inf,0.074,1.0
4.0,1,2B,9.0,33.0,3.0,4.0,0.0,1.0,0.0,6.0,3.0,1.0,1.0,5.0,1.0,0.0,9.0,0.0,1.0,1.0,0.267,0.364,0.34,0.704,18.667,1.072,-0.288,-0.024,박민우,NC,2021.0,3.0,0.249,0.556,0.073,1.0
1.0,5,2B,9.0,35.0,3.0,13.0,2.0,0.0,3.0,24.0,5.0,1.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.442,0.446,1.132,1.578,18.111,1.021,0.233,0.038,최주환,SSG,2021.0,8.0,0.484,0.111,0.69,5.0
3.0,5,2B,9.0,36.0,5.0,13.0,5.0,0.0,1.0,21.0,10.0,0.0,0.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,0.364,0.387,0.64,1.027,18.333,0.842,0.66,0.046,최주환,SSG,2021.0,7.0,0.334,0.5,0.276,6.0
5.0,5,PH,5.0,24.0,2.0,6.0,1.0,0.0,0.0,7.0,5.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.354,0.398,0.594,0.992,13.778,0.913,0.071,0.005,최주환,SSG,2021.0,5.0,0.328,2.0,0.24,1.0
3.0,5,2B,9.0,32.0,4.0,7.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,5.0,1.0,1.0,5.0,1.0,0.0,1.0,0.319,0.382,0.509,0.891,20.556,1.206,-0.546,-0.053,최주환,SSG,2021.0,7.0,0.299,1.0,0.19,0.0
3.0,5,2B,9.0,29.0,4.0,4.0,0.0,0.0,3.0,13.0,5.0,0.0,0.0,5.0,3.0,1.0,6.0,1.0,0.0,1.0,0.289,0.363,0.479,0.842,19.444,0.881,-0.071,-0.011,최주환,SSG,2021.0,1.0,0.283,0.833,0.19,3.0
2.0,5,2B,8.0,31.0,3.0,8.0,1.0,0.0,1.0,12.0,8.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.278,0.365,0.479,0.844,15.556,1.079,0.178,0.023,최주환,SSG,2021.0,6.0,0.284,1.0,0.201,2.0
1.0,5,2B,9.0,33.0,5.0,7.0,0.0,0.0,2.0,13.0,10.0,1.0,0.0,3.0,0.0,0.0,7.0,1.0,0.0,0.0,0.264,0.352,0.454,0.806,16.778,1.266,0.059,0.007,최주환,SSG,2021.0,5.0,0.272,0.429,0.19,2.0
5.0,1,3B,9.0,38.0,7.0,14.0,1.0,0.0,0.0,15.0,2.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.431,0.431,0.446,0.877,16.556,0.97,0.223,0.032,허경민,두산,2021.0,13.0,0.305,0.0,0.015,1.0
5.0,1,3B,9.0,38.0,6.0,13.0,2.0,0.0,1.0,18.0,6.0,0.0,0.0,4.0,0.0,0.0,4.0,2.0,0.0,0.0,0.344,0.364,0.383,0.747,17.444,0.819,0.32,0.032,허경민,두산,2021.0,10.0,0.26,1.0,0.039,3.0
5.0,1,3B,8.0,35.0,6.0,10.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,0.357,0.397,0.432,0.829,16.333,0.927,-0.053,-0.043,허경민,두산,2021.0,8.0,0.287,1.0,0.075,2.0
4.0,1,3B,6.0,28.0,4.0,11.0,2.0,0.0,1.0,16.0,4.0,0.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.344,0.4,0.421,0.821,12.667,1.172,-0.136,-0.01,허경민,두산,2021.0,8.0,0.285,inf,0.077,3.0
3.0,1,3B,9.0,40.0,2.0,9.0,1.0,0.0,1.0,13.0,5.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,0.345,0.395,0.444,0.84,17.0,1.008,-0.496,0.002,허경민,두산,2021.0,7.0,0.289,1.0,0.099,2.0
5.0,1,3B,8.0,36.0,5.0,10.0,2.0,0.0,1.0,15.0,4.0,0.0,2.0,2.0,1.0,0.0,3.0,3.0,0.0,0.0,0.326,0.372,0.427,0.799,15.333,0.873,-0.204,0.025,허경민,두산,2021.0,7.0,0.274,0.667,0.101,3.0
4.0,1,3B,9.0,38.0,7.0,12.0,4.0,1.0,0.0,18.0,6.0,1.0,1.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,0.325,0.376,0.432,0.808,17.778,1.063,0.09,0.014,허경민,두산,2021.0,7.0,0.277,2.5,0.107,5.0
4.0,1,3B,8.0,35.0,6.0,8.0,3.0,0.0,0.0,11.0,4.0,0.0,0.0,3.0,0.0,0.0,2.0,3.0,0.0,0.0,0.317,0.368,0.43,0.798,14.222,1.098,-0.19,-0.017,허경민,두산,2021.0,5.0,0.273,1.5,0.113,3.0
